Year,Team,League,G,RegWPct,PostSeason,W,WPct,AB,R,H,x2B,x3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
2006,Texas Rangers,AL,29,0.494,0,12,0.429,1015,160,270,59,8,52,155,76,204,12,13,0.266,0.32,0.494,0.813
2008,Houston Astros,NL,32,0.534,0,13,0.419,1128,190,317,91,8,32,180,98,191,40,9,0.281,0.341,0.461,0.802
2007,Pittsburgh Pirates,NL,32,0.42,0,12,0.414,1165,156,334,70,7,22,147,81,214,14,5,0.287,0.339,0.415,0.755
2009,Philadelphia Phillies,NL,34,0.574,1,13,0.406,1164,176,308,71,2,42,167,118,234,23,8,0.265,0.337,0.437,0.775
2009,Los Angeles Dodgers,NL,37,0.586,1,15,0.405,1293,210,359,72,10,37,200,134,218,39,21,0.278,0.349,0.435,0.783
2008,Philadelphia Phillies,NL,31,0.568,1,12,0.4,1007,132,245,62,6,27,125,91,213,16,6,0.243,0.309,0.397,0.706
2007,Seattle Mariners,AL,34,0.543,0,14,0.4,1179,179,332,73,5,28,168,93,174,24,9,0.282,0.34,0.423,0.763
2006,Toronto Blue Jays,AL,30,0.537,0,12,0.4,1028,142,276,69,11,34,131,86,162,31,14,0.268,0.331,0.456,0.787
2008,Arizona Diamondbacks,NL,31,0.506,0,12,0.4,1098,200,326,86,9,31,189,117,198,16,12,0.297,0.372,0.476,0.848
2008,Washington Nationals,NL,32,0.366,0,12,0.4,1054,127,269,64,5,27,122,108,195,9,12,0.255,0.333,0.402,0.736
2009,Cincinnati Reds,NL,33,0.481,0,13,0.394,1099,138,265,52,9,28,135,85,236,33,17,0.241,0.301,0.381,0.682
2006,Seattle Mariners,AL,29,0.481,0,11,0.393,1012,144,297,66,9,26,134,71,192,30,12,0.293,0.34,0.454,0.794
2007,Washington Nationals,NL,31,0.451,0,11,0.393,1063,158,281,58,3,20,145,134,218,11,8,0.264,0.351,0.381,0.732
2009,Florida Marlins,NL,33,0.537,0,12,0.387,1130,156,296,61,6,29,143,90,252,23,10,0.262,0.32,0.404,0.723
